Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.446258545,0.10082527672207514,-0.3258113207439166,0.06963719087396619,
0.451293945,-0.63568499346609,0.041975455123616,0.191696080824173,
0.456298828,-0.5832428189916219,0.10062137972389351,0.4502440716905884,
0.461303711,-0.8458300950370476,0.26628811940411445,0.5747094175087207,
0.466308594,-0.7877602674358881,0.4505304955232923,0.3007953660382266,
0.471343994,-0.1839313584799605,0.2991328925123842,0.0433584607993313,
0.476348877,-0.32910309459646847,0.425097329634907,-0.19132641495428498,
0.48135376,0.5105212352603252,0.010634504332925232,-0.373337010869678,
0.48638916,0.5463198202395102,-0.11982491606491052,-0.5323366008832424,
0.491394043,0.6611647429103582,-0.22227594847692878,-0.47184096039409396,
0.496398926,0.8698619701095366,-0.4632089423752941,-0.03654259253402514,
0.501434326,0.20172453702512927,-0.26905348202523527,-4.987224647201027E-4,
0.506439209,0.24948998118260346,-0.33974229733893857,0.04173969390322391,
0.511444092,-0.29648955802266724,-0.13196229490240086,0.11958560277882913,
0.516448974,-0.7485930136056338,0.08595848439057896,0.2891133064418133,
0.521484375,-0.5931248991657571,0.09941864298121317,0.5913858599972006,
0.526489258,-0.9590946458951057,0.4108947776662202,0.4233040004977605,
0.53149414,-0.41101350968483463,0.32679931822672614,0.12794984102320844,
0.536529541,-0.1966574874353677,0.30357812645638127,0.07555323219356674,
0.541534424,-0.02132745479204412,0.3558629894463543,-0.1713201095576466,
0.546539306,0.7682285635101147,-0.0907246475054162,-0.3209305993648673,
0.551574707,0.4900955461205918,0.01936364137066704,-0.5900208466793939,
0.55657959,0.9053821009589735,-0.3465085986222167,-0.3475171656247651,
0.561584472,0.6113051924859288,-0.386386566397773,-0.06540386921856206,
0.566589355,0.15193477898874308,-0.32442907733696913,0.028121240562650363,
0.571624756,0.1502831747534945,-0.33998759780707566,0.13167667995012028,
0.576629639,-0.6267583234784544,0.013398105348089828,0.17428665646009622,
0.581634521,-0.5646146665952636,0.04710764443472115,0.33288635641807696,
0.586669922,-0.6930369481199609,0.2158111155477762,0.4521001007594616,
0.591674805,-0.8072493827147187,0.4350512361882206,0.1701395532638193,
0.596679687,-0.08460565851552504,0.2484438209818265,0.011612130892305422,
0.601715088,-0.25729634321867,0.44010027162921084,-0.12094711169240567,
0.606719971,0.5660501324563141,0.09158217042836903,-0.24999255263517456,
0.611724853,0.7248249692463012,-0.09719324803230478,-0.42984023351438966,
0.616729736,0.7752213035220411,-0.18310127811334453,-0.5507325383740118,
0.621765137,0.9687732342238828,-0.4472012373344256,-0.23372567913670939,
0.626770019,0.3440615561291063,-0.2792209508050405,-0.04332819955936751,
0.631774902,0.16798606130953508,-0.30573760048778276,0.116655799727506,
0.636810303,-0.19505451032737198,-0.1392556077339755,0.24080999134450487,
0.641815185,-0.7287364793556477,0.12419121693782031,0.3363003368256039,
0.646820068,-0.4623104725470181,0.07253412589400554,0.47015110930423315,
0.651855469,-0.8984982803813646,0.3798168514964537,0.2822610241621365,
0.656860351,-0.47554911258634164,0.3421591452596626,-0.01169118067029079,
0.661865234,-0.17739973928782332,0.26222829277022974,-0.038088296098732655,
0.666870117,-0.05190514299275867,0.29980948968493415,-0.16645696500398613,
0.671905517,0.7782512762307932,-0.16812359965830126,-0.23659574778443893,
0.6769104,0.5536435014533845,-0.07320737582039172,-0.48041429354005116,
0.681915283,0.8892038636627076,-0.368856428000063,-0.33261024342579093,
0.686950683,0.6194197315551662,-0.41575164630629935,-0.17607354630313277,
0.691955566,0.15077260165038298,-0.3230310045450402,0.004710010613743765,
0.696960449,0.05166056178905637,-0.28906445207353215,0.214461367865995,
0.701995849,-0.617546062287505,0.013914453966174634,0.34204028569904604,
0.707000732,-0.658758529517504,0.1088122272354397,0.4613275410592369,
0.712005615,-0.6802416868952532,0.22878562163210248,0.5222968961286395,
0.717041015,-0.8564003807662026,0.44351433714943234,0.13244933330916164,
0.722045898,-0.10859442570671213,0.20733832518829587,-0.1047338927276707,
0.727050781,-0.2535137241591197,0.374635308588136,-0.16231494621338657,
0.732086181,0.40628325895395423,0.1349865671830095,-0.2754208046269593,
0.737091064,0.6180685993506634,-0.06821924234734311,-0.34866916323281744,
0.742095947,0.6266204068242808,-0.1484230501278745,-0.4187546665237539,
0.74710083,0.7905175168656746,-0.37348697525854924,-0.13771369415650314,
0.75213623,0.3412763181800398,-0.36583059583183974,-0.09101812329395248,
0.757141113,0.05275738266903185,-0.2888314688529725,-0.005785690041411995,
0.762145996,-0.19913930870852453,-0.255967518832378,0.2041483034356204,
0.767181396,-0.8335179899355697,0.12658584821534724,0.30313797868599635,
0.772186279,-0.6380790403859558,0.10510168638477779,0.5336480782612971,
0.777191162,-0.9031145994962647,0.41544121238907294,0.3598774469840377,
0.782196045,-0.5367006639720118,0.4453534581925087,0.052318461493480156,
0.787231445,-0.0635280116463594,0.31606059858525626,-0.019436734711465883,
0.792236328,-0.012516745254587569,0.3256390062119543,-0.2894507549566727,
0.797241211,0.79827517801508,-0.13980617784293692,-0.3368950766215882,
0.802276611,0.575412134599564,-0.11184494227434882,-0.5146942839535206,
0.807281494,0.8165919147109013,-0.3308089616319787,-0.34854741935031647,
0.812286377,0.6398580044249711,-0.42553584118058296,-0.1141162557927532,
0.81729126,0.31269206760247686,-0.3844838487257167,0.08492769849079745,
0.82232666,0.02988998220698147,-0.27311442273057374,0.23458034238638797,
0.827331543,-0.41087805329691485,-0.0997293311532097,0.3236506020341104,
0.832336426,-0.8037146496687819,0.16729905460868189,0.3815034894397883,
0.837371826,-0.5720976962975256,0.15490857962444693,0.4852442954580807,
0.842376709,-0.8081908523505205,0.42463487151205825,0.17368127621021456,
0.847381592,-0.06237299438041638,0.2707503776783966,0.027848829561921647,
0.852416992,-0.1322592353480831,0.360252645892718,-0.10030394416296269,
0.857421875,0.36920481875278355,0.1886049487454251,-0.3311586826741202,
0.862426758,0.39112801515847684,0.053203294933840795,-0.43156512973304617,
0.867462158,0.3416377636892815,-0.014895860146676654,-0.40079409597393695,
0.872467041,0.3690743711076752,-0.21686053577359132,-0.20380178068539956,
0.877471924,0.41592600079239017,-0.458876612212622,0.005513262951680364,
0.882476806,0.34807283188391214,-0.4283927936763483,0.1978676416113443,
0.887512207,0.2727087537883797,-0.45955993806607864,0.24448796094532543,
0.89251709,-0.1285126844692962,-0.2527187512341129,0.35072952891251036,
0.897521972,-0.608462003044187,0.1598245107314593,0.2652637989112583,
0.902557373,-0.7338521219665997,0.35195628827266745,0.04940586334775662,
0.907562256,-0.48173501788577977,0.4826758704618843,-0.2803483561967947,
0.912567139,-0.1076658463398738,0.41295954402575674,-0.08828014980118576,
0.917602539,-0.08229966925939905,0.40506245943935504,-0.0629703112471986,
0.922607422,0.3746876083424808,0.15741178395773403,-0.1499734169665089,
0.927612305,0.3035830944864847,-0.034959244708812065,-0.31725656560445714,
0.932617187,0.46121364355793776,-0.16395372389204965,-0.2346524204523157,
0.937652588,0.4973034343776002,-0.44911952208238937,0.0076393917631474295,
0.942657471,0.4802035873458302,-0.5106017700096626,0.08655584934801797,
0.947662353,0.34010769409541414,-0.45636959960148005,0.14203520682216436,
0.952697754,0.10162717090133128,-0.35742966405618404,0.2668508217077315,
0.957702637,-0.661862325778935,0.12394396406755348,0.2824381768974352,
0.962707519,-0.6176002121856481,0.23322499547279207,0.35428306104919816,
0.96774292,-0.8330938416235185,0.5179398596594833,0.08421990587060854,
0.972747803,-0.12251755376756479,0.40286507132133664,-0.08201372374101318,
0.977752685,-0.17654187504530183,0.44104205705706967,-0.11158265868031056,
0.982757568,0.3969867148075085,0.20534829408315503,-0.30569679100674846,
0.987792969,0.7083242351272568,-0.1230260522334774,-0.3403337999928988,
0.992797851,0.6394377084143055,-0.18653119334928192,-0.36228168843181907,
0.997802734,0.7931053425126945,-0.4077942906169252,-0.1385191984017053,
1.002838135,0.44103944979140564,-0.4488184403060398,-0.026538014971364265,
1.007843017,-0.10302781516687554,-0.2230684241198322,0.07453374817915859,
